timestamp,model,prompt_tokens,completion_tokens,reasoning_tokens,total_tokens,latency_ms,estimated_cost_usd
2026-09-13T15:14:29.595599+00:00,gpt-4o-mini-2024-07-18,1298,92,0,1390,3079.93,0.0002499
2026-09-13T15:16:46.891019+00:00,gpt-4o-mini-2024-07-18,1302,86,0,1388,3013.16,0.0002469
2026-09-13T20:35:43.585963+00:00,gpt-4o-mini-2024-07-18,1494,50,0,1544,2875.19,0.0002541
2026-09-13T20:36:23.114981+00:00,gpt-4o-mini-2024-07-18,1493,79,0,1572,2817.17,0.00027135
2026-09-13T23:16:05.613448+00:00,gpt-4o-mini-2024-07-18,1496,79,0,1575,3784.03,0.0002718
2026-09-13T23:16:19.986508+00:00,gpt-4o-mini-2024-07-18,1496,106,0,1602,2911.82,0.000288
2026-09-13T23:16:28.262091+00:00,gpt-4o-mini-2024-07-18,1499,98,0,1597,1820.73,0.00028365
2026-09-13T23:16:53.681690+00:00,gpt-4o-mini-2024-07-18,1503,57,0,1560,3233.44,0.00025965
2026-09-13T23:17:09.142953+00:00,gpt-4o-mini-2024-07-18,1495,93,0,1588,1787.08,0.00028005
2026-09-14T02:11:16.082383+00:00,gpt-4o-mini-2024-07-18,1487,81,0,1568,3129.76,0.00027165
2026-09-14T02:11:48.375652+00:00,gpt-4o-mini-2024-07-18,1488,92,0,1580,2897.74,0.0002784
2026-09-14T02:12:04.600470+00:00,gpt-4o-mini-2024-07-18,1490,89,0,1579,1689.66,0.0002769
2026-09-14T02:12:13.511243+00:00,gpt-4o-mini-2024-07-18,1484,91,0,1575,2004.52,0.0002772
2026-09-14T02:12:19.504426+00:00,gpt-4o-mini-2024-07-18,1489,60,0,1549,1453.63,0.00025935
2026-09-14T02:15:31.055406+00:00,gpt-4o-mini-2024-07-18,1487,84,0,1571,2027.95,0.00027345
2026-09-14T02:15:43.509955+00:00,gpt-4o-mini-2024-07-18,1488,92,0,1580,2902.63,0.0002784
2026-09-14T02:15:51.805295+00:00,gpt-4o-mini-2024-07-18,1490,89,0,1579,2043.62,0.0002769
2026-09-14T02:16:02.026312+00:00,gpt-4o-mini-2024-07-18,1484,93,0,1577,3621.26,0.0002784
2026-09-14T02:16:14.711500+00:00,gpt-4o-mini-2024-07-18,1489,66,0,1555,1281.31,0.00026295
2026-09-14T02:17:21.077677+00:00,gpt-4o-mini-2024-07-18,1487,78,0,1565,2314.55,0.00026985
2026-09-14T02:17:29.576512+00:00,gpt-4o-mini-2024-07-18,1488,92,0,1580,1583.15,0.0002784
2026-09-14T02:17:38.031259+00:00,gpt-4o-mini-2024-07-18,1490,86,0,1576,1559.92,0.0002751
2026-09-14T02:17:49.748235+00:00,gpt-4o-mini-2024-07-18,1484,71,0,1555,1382.83,0.0002652
2026-09-14T02:18:00.882018+00:00,gpt-4o-mini-2024-07-18,1489,61,0,1550,1506.5,0.00025995
2026-09-14T02:26:27.142719+00:00,gpt-4o-mini-2024-07-18,1487,81,0,1568,1879.14,0.00027165
2026-09-14T02:26:33.411528+00:00,gpt-4o-mini-2024-07-18,1488,92,0,1580,1775.6,0.0002784
2026-09-14T02:26:39.611436+00:00,gpt-4o-mini-2024-07-18,1490,89,0,1579,1678.59,0.0002769
2026-09-14T02:26:44.909180+00:00,gpt-4o-mini-2024-07-18,1484,84,0,1568,1748.79,0.000273
2026-09-14T02:26:50.110041+00:00,gpt-4o-mini-2024-07-18,1489,60,0,1549,1587.34,0.00025935
2026-09-14T02:27:32.995708+00:00,gpt-4o-mini-2024-07-18,1487,81,0,1568,1872.85,0.00027165
2026-09-14T02:27:40.284984+00:00,gpt-4o-mini-2024-07-18,1488,92,0,1580,1905.44,0.0002784
2026-09-14T02:27:46.025601+00:00,gpt-4o-mini-2024-07-18,1490,94,0,1584,1535.14,0.0002799
2026-09-14T02:27:52.792170+00:00,gpt-4o-mini-2024-07-18,1484,94,0,1578,2146.51,0.000279
2026-09-14T02:27:57.898241+00:00,gpt-4o-mini-2024-07-18,1489,60,0,1549,1405.95,0.00025935
2026-09-14T02:28:35.970720+00:00,gpt-4o-mini-2024-07-18,1487,85,0,1572,3547.6,0.00027405
2026-09-14T02:28:41.618709+00:00,gpt-4o-mini-2024-07-18,1488,92,0,1580,1721.36,0.0002784
2026-09-14T02:28:46.638101+00:00,gpt-4o-mini-2024-07-18,1490,89,0,1579,1632.31,0.0002769
2026-09-14T02:28:52.185152+00:00,gpt-4o-mini-2024-07-18,1484,93,0,1577,1704.35,0.0002784
2026-09-14T02:28:58.767926+00:00,gpt-4o-mini-2024-07-18,1489,67,0,1556,1680.87,0.00026355
2026-09-14T02:35:50.711314+00:00,gpt-4o-mini-2024-07-18,1510,127,0,1637,2847.92,0.0003027
2026-09-14T02:36:05.729119+00:00,gpt-4o-mini-2024-07-18,1502,103,0,1605,2285.94,0.0002871
2026-09-14T02:36:18.272229+00:00,gpt-4o-mini-2024-07-18,1510,123,0,1633,1617.74,0.0003003
2026-09-14T02:36:22.127591+00:00,gpt-4o-mini-2024-07-18,1502,103,0,1605,1758.22,0.0002871
2026-09-14T02:37:28.343918+00:00,gpt-4o-mini-2024-07-18,1510,123,0,1633,2190.72,0.0003003
2026-09-14T02:37:33.344958+00:00,gpt-4o-mini-2024-07-18,1502,103,0,1605,1557.81,0.0002871
2026-09-14T02:37:39.683056+00:00,gpt-4o-mini-2024-07-18,1510,123,0,1633,2166.33,0.0003003
2026-09-14T02:37:44.711795+00:00,gpt-4o-mini-2024-07-18,1502,103,0,1605,2133.54,0.0002871
2026-09-14T02:46:17.578742+00:00,gpt-4o-mini-2024-07-18,1487,81,0,1568,3458.04,0.00027165
2026-09-14T02:46:22.561871+00:00,gpt-4o-mini-2024-07-18,1488,92,0,1580,2465.71,0.0002784
2026-09-14T02:46:28.020564+00:00,gpt-4o-mini-2024-07-18,1490,89,0,1579,2713.44,0.0002769
2026-09-14T02:46:32.818340+00:00,gpt-4o-mini-2024-07-18,1484,93,0,1577,1581.68,0.0002784
